imdb_id,file_id,language,from_trusted,ai_translated,machine_translated
tt0493437,3755364.0,en,False,False,False
tt0829459,4592347.0,en,False,False,False
tt5684550,1174852.0,en,False,False,False
tt2302945,1001306.0,en,False,False,False
tt6517874,1214489.0,en,False,False,False
tt1582519,783900.0,en,True,False,False
tt6682124,7725167.0,en,False,False,True
tt10515954,5031800.0,en,False,False,False
tt1039989,3884086.0,en,True,False,False
tt8622232,6794431.0,en,False,False,False
tt0187351,769822.0,en,False,False,False
tt1245732,137430.0,en,False,False,False
tt3666258,897101.0,en,False,False,False
tt0266712,3655115.0,en,False,False,False
tt2980794,1053407.0,en,False,False,False
tt5278634,1167814.0,en,False,False,False
tt0995840,4260227.0,en,False,False,False
tt5771640,1210142.0,en,False,False,False
tt1537032,89429.0,en,False,False,False
tt7757972,4729534.0,en,False,False,False
tt2522328,1056474.0,en,False,False,False
tt2317103,966414.0,en,False,False,False
tt0225515,16847.0,en,False,False,False
tt1092005,4272550.0,en,False,False,False
tt1857670,4325764.0,en,False,False,False
tt4384242,4556474.0,en,False,False,False
tt10964430,5233272.0,en,False,False,False
tt2334779,4555731.0,en,False,False,False
tt8364128,5059295.0,en,False,False,False
tt1580704,835994.0,en,False,False,False
tt0203289,1487263.0,en,False,False,False
tt6588966,1246117.0,en,False,False,False
tt11102314,6712828.0,en,False,False,False
tt11536276,6566059.0,en,False,False,False
tt6650364,1247347.0,en,False,False,False
tt0329393,3696023.0,en,False,False,False
tt8806546,4970611.0,en,False,False,False
tt3848938,1126775.0,en,False,False,False
tt0414156,7434660.0,en,True,False,False
tt9729774,7258473.0,en,False,False,False
tt0242519,4368756.0,en,False,False,False
tt4219300,1102486.0,en,False,False,False
tt1334254,4316390.0,en,False,False,False
tt0290258,5044519.0,en,False,False,False
tt1830782,1176315.0,en,False,False,False
tt1954206,854573.0,en,False,False,False
tt9602804,6710987.0,en,False,False,False
tt5286444,1153754.0,en,False,False,False
tt4271820,1131031.0,en,False,False,False
tt0493437,3755364.0,en,False,False,False
tt0829459,4592347.0,en,False,False,False
